Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2015-12;RER;D;RER D;88,50;7,7
2015-12;RER;E;RER E;95,50;21,2
2015-12;Transilien;H;Paris Nord Ouest;96,20;25,3
2015-12;Transilien;J;Paris Saint-Lazare Nord;89,70;8,7
2015-12;Transilien;K;Paris Nord Crépy;85,90;6,1
2015-12;Transilien;L;Paris Saint-Lazare Sud;88,10;7,4
2015-12;Transilien;N;Paris Montparnasse;92,60;12,5
2015-12;Transilien;P;Paris Est;92,50;12,3
2015-12;Transilien;R;Paris Sud Est;86,90;6,6
2015-12;Transilien;U;La Verrière - La Défense;92,90;13,1
2016-01;RER;A;RER A;69,10;2,2
2016-01;RER;B;RER B;85,50;5,9
2016-01;RER;C;RER C;89,90;8,9
2016-01;RER;D;RER D;81,40;4,4
2016-01;RER;E;RER E;95,10;19,4
2016-01;Transilien;H;Paris Nord Ouest;95,70;22,3
2016-01;Transilien;J;Paris Saint-Lazare Nord;91,60;10,9
2016-01;Transilien;K;Paris Nord Crépy;81,50;4,4
2016-01;Transilien;L;Paris Saint-Lazare Sud;89,00;8,1
2016-01;Transilien;N;Paris Montparnasse;92,10;11,7
2016-01;Transilien;P;Paris Est;89,50;8,5
2016-01;Transilien;R;Paris Sud Est;87,20;6,8
2016-01;Transilien;U;La Verrière - La Défense;94,10;15,9
2016-02;RER;A;RER A;71,70;2,5
2016-02;RER;B;RER B;86,90;6,6
2016-02;RER;C;RER C;88,50;7,7
2016-02;RER;D;RER D;86,70;6,5
2016-02;RER;E;RER E;93,10;13,5
2016-02;Transilien;H;Paris Nord Ouest;95,10;19,4
2016-02;Transilien;J;Paris Saint-Lazare Nord;91,50;10,8
2016-02;Transilien;K;Paris Nord Crépy;85,50;5,9
2016-02;Transilien;L;Paris Saint-Lazare Sud;89,40;8,4
2016-02;Transilien;N;Paris Montparnasse;93,70;14,9
2016-02;Transilien;P;Paris Est;88,10;7,4
2016-02;Transilien;R;Paris Sud Est;88,10;7,4
2016-02;Transilien;U;La Verrière - La Défense;96,80;30,3
2016-03;RER;A;RER A;72,20;2,6
2016-03;RER;B;RER B;89,50;8,5
2016-03;RER;C;RER C;88,30;7,5
2016-03;RER;D;RER D;84,30;5,4
2016-03;RER;E;RER E;95,70;22,3
2016-03;Transilien;H;Paris Nord Ouest;92,70;12,7
2016-03;Transilien;J;Paris Saint-Lazare Nord;91,10;10,2
2016-03;Transilien;K;Paris Nord Crépy;85,80;6
